time,X_m,Y_m,Vx_ms,Vy_ms,V_ms
1734965530.6688716,0.2412,0.7856000000000001,-0.03194382437501208,-0.12422598368060195,0.12826731047743534
1734965530.8458514,0.2396,0.7767999999999999,-0.009040580783961298,-0.04972319431178824,0.05053838297254059
1734965530.8638418,0.23800000000000002,0.7687999999999999,-0.08893656519607139,-0.4446828259803601,0.453489281406688
1734965530.8942182,0.2372,0.7612000000000001,-0.026336204947884717,-0.250193947004892,0.2515762445242867
1734965530.925195,0.2364,0.7552000000000001,-0.02582580237981605,-0.19369351784862168,0.19540765318977565
1734965531.0331104,0.2356,0.7476,-0.007413214325166206,-0.07042553608907985,0.07081463040971928
1734965531.0511098,0.2348,0.7396,-0.04444589972845857,-0.44445899728458876,0.4466757641398224
1734965531.117224,0.2336,0.7264,-0.018150415970977694,-0.1996545756807534,0.20047789701156885
1734965531.1493099,0.23240000000000002,0.714,-0.03739961063472418,-0.38646264322549245,0.3882680845555854
1734965531.2933245,0.228,0.6756000000000001,-0.030552458525166443,-0.2666396380378145,0.26838433131401085
1734965531.3413243,0.2396,0.6204,0.2416673772885767,-1.1500033815801267,1.1751216528050472
1734965531.9046347,0.25639999999999996,0.5616,0.029823700139036062,-0.10438295048662644,0.10855990715856681
1734965532.4930177,0.27480000000000004,0.5076,0.031272149723424146,-0.09177696114483122,0.09695853724816664
1734965532.7167475,0.29560000000000003,0.45280000000000004,0.09296926675554214,-0.24493826049056316,0.2619886180985848
1734965532.749591,0.32080000000000003,0.4252,0.7672730102500073,-0.8403466302738178,1.1379324809806022
1734965532.915761,0.3312,0.4156,0.06258655230448479,-0.05777220212721691,0.08517454941465799
1734965532.9410331,0.338,0.4092,0.26907109689714165,-0.2532433853149565,0.3695016473457331
1734965533.0516126,0.3472,0.4016,0.0831980681494768,-0.0687288389060896,0.10791465072539595
1734965533.1329093,0.3584,0.394,0.13776699952783555,-0.09348474967960274,0.16649067415792582
1734965533.3111541,0.37,0.386,0.06507902671569381,-0.044882087390133704,0.07905492702392171
1734965533.4542613,0.38360000000000005,0.37760000000000005,0.09503366914625144,-0.0586972662373901,0.11169945091692367
1734965533.5007904,0.39680000000000004,0.3704,0.28369370711785874,-0.15474202206428755,0.32315199651374255
1734965533.639601,0.4088,0.364,0.08644870786343134,-0.04610597752716367,0.09797520224522233
1734965533.6576054,0.4224,0.3572,0.7553701785052175,-0.3776850892526072,0.8445295336569077
1734965533.7255745,0.4372,0.3504,0.2177460571131913,-0.10004548570065601,0.23962980740596804
1734965533.949673,0.45,0.3444,0.057117754913361365,-0.026773947615638092,0.06308155195671512
1734965534.0128634,0.4672,0.3372,0.2721929852097795,-0.1139412496226982,0.29507902257360363
1734965534.0613713,0.4868,0.3296,0.4040576554259624,-0.1566754174100669,0.4333702520120001
1734965534.2372825,0.502,0.32480000000000003,0.08640723857283227,-0.027286496391420566,0.09061326482972214
1734965534.406894,0.5307999999999999,0.31960000000000005,0.16979985324753055,-0.030658306836359648,0.1725454199361875
1734965534.4292572,0.5676,0.3168,1.6455616025928084,-0.1252057741103233,1.6503179917211037
1734965534.9087818,0.6068,0.3168,0.08174762876428451,0.0,0.08174762876428451
1734965535.1395516,0.6536000000000001,0.32039999999999996,0.20279943590321117,0.015599956607939025,0.20339854927906992
1734965535.3248444,0.7032,0.32560000000000006,0.26768455764088855,0.028063703623642057,0.26915161872163024
1734965535.6124306,0.7412000000000001,0.3336,0.13213429014843026,0.027817745294406178,0.13503072830394575
1734965535.770788,0.7784,0.342,0.23491168881615235,0.053044574893970145,0.24082613742727096
1734965535.9162989,0.8132,0.3508,0.23915732185077626,0.06047656414617304,0.2466853043976515
1734965536.2208228,0.838,0.358,0.08143858773348678,0.023643460954883268,0.08480127839808733
1734965536.4778006,0.8632000000000001,0.36719999999999997,0.09806294682991908,0.03580075836647818,0.10439365804771138
1734965536.5626154,0.8844,0.376,0.24995641411259242,0.10375549265051098,0.2706351995051199
1734965536.8939667,0.8976000000000001,0.384,0.03983687641568385,0.024143561464050653,0.04658205966600081
1734965537.0126295,0.9036000000000001,0.39280000000000004,0.0505634307666343,0.07415969845773049,0.08975701313119624
1734965537.1814926,0.908,0.4016,0.026056616821717116,0.052113233643434564,0.058264366477024286
1734965537.934894,0.908,0.4068,0.0,0.006902030161440105,0.006902030161440105
1734965537.964159,0.9076000000000001,0.4108,-0.013668238476201385,0.136682384762029,0.13736409664565793
1734965537.9961665,0.9067999999999999,0.4136,-0.024994176492938953,0.08747961772527246,0.09098017573032043
1734965538.045541,0.9076000000000001,0.41400000000000003,0.016202669345028113,0.008101334672512932,0.018115135036216923
1734965538.0771186,0.9084,0.4144,0.025334424595681488,0.012667212297840744,0.028324747783393216
1734965538.1094115,0.9087999999999999,0.4152,0.012386645600459337,0.02477329120092211,0.02769738157582885
1734965538.1884394,0.9096000000000001,0.4164,0.010123008323605553,0.01518451248540552,0.018249512786351955
1734965538.269469,0.9104,0.418,0.009872928797779195,0.019745857595560443,0.02207653992885139
1734965538.332184,0.9116000000000001,0.42,0.01913416208572028,0.031890270142864774,0.0371901262233339
1734965538.3810627,0.9156000000000001,0.426,0.08183528769047672,0.12275293153571509,0.14753066295518044
1734965538.4123664,0.9264,0.442,0.3450077549372771,0.5111225999070813,0.6166657628753477
1734965538.637586,0.9316000000000001,0.4964,0.023088563685637272,0.24154189701897022,0.24264288530387315
1734965538.8915973,0.936,0.5516,0.0173220739628307,0.21731329153369616,0.2180025709104895
1734965539.877749,0.934,0.6088,-0.0020280855467068983,0.058003246635817275,0.05803869184673453
1734965539.8997517,0.9284,0.6616000000000001,-0.25451425351624524,2.399705818867437,2.413165042501065
1734965540.2693107,0.912,0.7064,-0.04437721121285014,0.12122555258144438,0.12909287925252286
1734965540.3171334,0.9,0.7128,-0.2509267884117799,0.1338276204862817,0.2843836935333501
1734965540.495893,0.8884,0.7184,-0.06489162892185922,0.03132699327262182,0.07205764367251519
1734965540.5417733,0.882,0.722,-0.13949336714543972,0.07846501901930894,0.1600473638872973
1734965540.572779,0.8696,0.7284,-0.3999274846786151,0.20641418564057842,0.4500542289936037
1734965540.6046371,0.8568,0.7336,-0.4017803162629199,0.16322325348181022,0.43366952050325047
1734965540.8847842,0.8416,0.7396,-0.05425721458832257,0.0214173215480221,0.05833135518033723
