time,X_px,Y_px,X_m,Y_m,Vx_ms,Vy_ms,V_ms
1734979104.766442,483.8,297.4,0.9676,0.5948,-0.13315442935684374,-0.1815742218502433,0.22516505079134297
1734979104.8156776,481.8,295.4,0.9636,0.5908,-0.08124205724689973,-0.08124205724689973,0.114893619193657
1734979104.8772323,480.0,294.2,0.96,0.5884,-0.05848459557129046,-0.0389897303808591,0.0702897360523533
1734979104.9254515,478.4,293.4,0.9568,0.5868,-0.06636360076342632,-0.03318180038171431,0.0741967612693396
1734979104.957965,477.0,292.8,0.9540000000000001,0.5856,-0.08611839174017671,-0.03690788217436194,0.09369401881929881
1734979104.991794,476.2,292.8,0.9524,0.5856,-0.04729640143773481,0.0,0.04729640143773481
1734979105.036875,475.4,292.8,0.9508,0.5856,-0.03549174912604619,0.0,0.03549174912604619
1734979105.069373,474.8,292.8,0.9496,0.5856,-0.03692548237054797,0.0,0.03692548237054797
1734979105.1014273,474.4,292.8,0.9488,0.5856,-0.02495755321839323,0.0,0.02495755321839323
1734979105.150281,474.0,293.0,0.9480000000000001,0.586,-0.016375444469928457,0.008187722234964228,0.01830830349826652
1734979105.1812809,473.6,293.0,0.9472,0.586,-0.0258065357667497,0.0,0.0258065357667497
1734979105.2133741,473.2,292.8,0.9464,0.5856,-0.02492733175344959,-0.012463665876723066,0.027869604149200384
1734979105.2606936,472.2,292.6,0.9444,0.5852,-0.04226595187230444,-0.00845319037445995,0.04310298267149058
1734979105.2928765,470.8,292.0,0.9416,0.584,-0.08700263881172059,-0.03728684520502557,0.09465605097164284
1734979105.3260906,469.0,291.6,0.9380000000000001,0.5832,-0.10838772808843396,-0.02408616179742754,0.11103171974847617
1734979105.3743553,466.2,290.8,0.9324,0.5816,-0.11602672633955358,-0.03315049323987311,0.12066961683506137
1734979105.4045668,462.6,290.0,0.9252,0.58,-0.23832025000789114,-0.05296005555731077,0.2441337933356568
1734979105.436935,458.4,289.0,0.9168,0.578,-0.2595141026207651,-0.06178907205256263,0.26676854927854177
1734979105.485544,453.4,288.2,0.9067999999999999,0.5764,-0.20572314242131456,-0.03291570278740896,0.2083397581300543
1734979105.5170274,447.8,287.2,0.8956000000000001,0.5744,-0.35574289327607883,-0.0635255166564434,0.36137030506518336
1734979105.548678,441.8,286.4,0.8836,0.5728,-0.37914041219718003,-0.050552054959625406,0.38249570248786924
1734979105.5974886,435.2,285.6,0.8704,0.5712,-0.2704323943593196,-0.03277968416476443,0.2724117978591534
1734979105.6277559,428.2,284.8,0.8564,0.5696,-0.46254632532492784,-0.052862437179993636,0.46555723636971075
1734979105.6615021,420.8,284.2,0.8416,0.5684,-0.4385673453815839,-0.035559514490397987,0.440006585752807
1734979105.7106037,413.0,283.4,0.8260000000000001,0.5668,-0.3177086454281916,-0.03258550209520018,0.3193753251686997
1734979105.7407362,405.0,282.6,0.81,0.5652,-0.5309875697274207,-0.05309875697273986,0.5336359032121831
1734979105.7742405,397.2,282.0,0.7944,0.5640000000000001,-0.46561260398357784,-0.03581635415258215,0.4669881242742167
1734979105.8228967,389.2,281.4,0.7784,0.5628,-0.3288376756060156,-0.024662825670452995,0.3297612346350285
1734979105.853303,381.4,280.6,0.7627999999999999,0.5612,-0.5130526404930508,-0.05262078364031056,0.5157440826493427
1734979105.8858325,373.6,280.0,0.7472000000000001,0.56,-0.47956333892801406,-0.03688948760984698,0.48098007270561877
1734979105.9348338,366.0,279.4,0.732,0.5588,-0.31019637807382244,-0.02448918774267186,0.3111615549620705
1734979105.9653673,358.2,279.0,0.7164,0.558,-0.5109133687835257,-0.026200685578639544,0.5115847401228086
1734979105.9969037,350.6,278.6,0.7012,0.5572,-0.4819836308241286,-0.025367559517060143,0.48265073651478196
1734979106.0450742,342.6,278.2,0.6852,0.5564,-0.33215303748725544,-0.016607651874363232,0.3325679696134162
1734979106.077377,334.6,277.6,0.6692,0.5552,-0.49531223429381244,-0.03714841757203525,0.4967033464445703
1734979106.109757,326.2,277.2,0.6524,0.5544,-0.5188409421917235,-0.024706711532939865,0.5194288641278682
1734979106.159059,317.8,276.4,0.6356,0.5528,-0.34075626825540983,-0.032452977929087724,0.34229815969680394
1734979106.1886933,309.8,275.6,0.6196,0.5512,-0.5399160384568974,-0.05399160384568749,0.542608903234014
1734979106.2233713,301.4,275.0,0.6028,0.55,-0.48445725128910383,-0.03460408937779245,0.48569153928008685
1734979106.2704089,290.8,274.2,0.5816,0.5484,-0.45070325307922343,-0.03401533985503671,0.4519850281609427
1734979106.3004136,280.2,273.4,0.5604,0.5468,-0.7065550365914706,-0.05332490842199932,0.7085644399706981
1734979106.3811362,269.4,272.8,0.5388,0.5456000000000001,-0.26758315410175076,-0.014865730783428918,0.2679957729345123
1734979106.4141781,257.8,272.4,0.5156000000000001,0.5448,-0.7021376511674858,-0.02421164314371058,0.7025549692733747
1734979106.445178,242.4,272.4,0.4848,0.5448,-0.9935516270198366,0.0,0.9935516270198366
1734979106.4938211,228.8,273.0,0.4576,0.546,-0.5591747480688547,0.02466947417951014,0.55971866311046
1734979106.6078157,215.2,273.8,0.4304,0.5476000000000001,-0.2386077970752602,0.014035752769133355,0.23902025684218647
1734979106.6388772,201.8,274.8,0.4036,0.5496000000000001,-0.8628069112149889,0.06438857546380522,0.8652061342192436
1734979106.670898,188.6,276.2,0.3772,0.5524,-0.8244639112467901,0.08744314210192947,0.8290880797894836
1734979106.7011507,179.8,277.2,0.35960000000000003,0.5544,-0.5817663501170297,0.06610981251329909,0.5855105408436588
1734979106.750219,171.6,278.6,0.3432,0.5572,-0.33422697659954964,0.057063142346264986,0.3390632302407709
1734979106.782454,163.6,280.0,0.3272,0.56,-0.49635632345436165,0.08686235660451398,0.5038994630162059
1734979106.8138568,155.6,281.6,0.3112,0.5632,-0.5095082793649834,0.10190165587299597,0.5195985317638268
1734979106.860516,147.8,282.8,0.29560000000000003,0.5656,-0.3343389850947598,0.05143676693765462,0.33827252023655807
1734979106.892821,138.8,284.2,0.2776,0.5684,-0.5571892514225412,0.0866738835546182,0.5638902588192594
1734979106.9256654,127.8,285.2,0.2556,0.5704,-0.6698269296379916,0.06089335723981742,0.672589114262337
1734979107.0054038,116.8,285.8,0.2336,0.5716,-0.27590227450089244,0.01504921497277569,0.276312402808963
1734979107.0863492,105.8,286.2,0.2116,0.5724,-0.2717878354098553,0.009883194014904116,0.2719674704826127
